Bijnor	33	553	293730	781364	84593
Bijuri	19	217	232524	821167	32682
Bijaynagar	28	428	259298	746492	32124
Bijbehara	13	146	337938	751070	24590
Bijawar	19	638	246235	794899	20513
Bijaipur	19	323	260505	773714	16964
Bijapur	6	80	187939	808160	16129
Bijolia	28	298	251610	753233	14140
Bijni	3	343	264959	907030	13257
Bijeraghogarh	19	337	239955	806066	8371
Bijepur	25	478	211893	834606	6922
Bijrauni	19	420	249330	776435	5743
Bijapura	19	660	238562	772903	137
Bij Kauli	33	526	269162	785469	0
Bij Purwa	33	522	272154	818360	0
Bija	27	647	307555	761123	0
Bija	6	517	217419	811668	0
Bija	6	681	216714	812346	0
Bija	6	681	216708	813991	0
Bija	19	576	233063	797604	0
Bija	19	461	225336	807784	0
Bija	27	544	314251	753861	0
Bija	19	449	226156	810515	0
Bija	6	279	222205	819420	0
Bija	4	117	245483	848842	0
Bija Nagla	33	116	281541	792529	0
Bija Purwa	33	659	272080	798899	0
Bija Sarai	33	575	264254	819416	0
Bija Tola	19	461	224719	801564	0
Bija Tola	19	354	222574	800565	0
Bijabasa	25	368	224564	859769	0
Bijabhata	6	642	209741	811554	0
Bijabhata	6	275	209433	814789	0
Bijabhata	6	455	210202	808649	0
Bijabhata	6	517	221486	815140	0
Bijabhata	6	681	218164	819035	0
Bijabhata	6	365	217093	819799	0
Bijabhauna	6	374	225290	822542	0
Bijadandi	19	461	229892	801558	0
Bijadandi Tola	19	461	229842	801506	0
Bijadanr	14	310	228733	844566	0
Bijadari	19	461	226717	803438	0
Bijadehi	19	443	220288	781700	0
Bijadehi	19	443	221689	776744	0
Bijadevri	19	354	223972	793329	0
Bijadhana	19	325	223246	785886	0
Bijadhana	19	325	225307	788430	0
Bijadhana	19	325	223965	787943	0
Bijadhaori	20	132	214674	769583	0
Bijadharmau	33	33	256430	822246	0
Bijadharpur	33	661	273625	796039	0
Bijadhata	6	681	216582	815560	0
Bijadhol	25	478	210704	827635	0
Bijadi	15	248	135774	746874	0
Bijadih	14	476	224919	842338	0
Bijadih	14	628	225917	859742	0
Bijadih	25	262	218396	848737	0
Bijadihi	25	290	217399	837435	0
Bijadihi	25	478	209995	830018	0
Bijadihi	25	546	215280	841281	0
Bijadihi	25	546	217639	843205	0
Bijadihi	25	546	216075	844811	0
Bijadongri	19	502	236614	795064	0
Bijadurha	25	683	213965	849623	0
Bijagada	25	546	212690	845230	0
Bijagarh	19	142	216056	806504	0
Bijagarni	15	77	158081	743930	0
Bijagatta	15	652	127863	760192	0
Bijaghati	25	349	190231	831994	0
