Artist Village	20	237	190323	730428	6000
Arta	12	514	307117	772842	0
Arta	33	561	252689	823362	0
Artagal	15	77	159022	751720	0
Artaha	4	590	260187	877201	0
Artakkal	30	215	123661	776264	0
Artakur	30	215	125194	777825	0
Artal	19	547	232062	748280	0
Artal	15	91	150079	751292	0
Artam	1	194	188250	834533	0
Artamuru	1	307	166087	814260	0
Artamuru	1	176	182071	835967	0
Artanada	25	243	189080	839448	0
Artara	33	621	257161	801638	0
Artasantra Katni	25	277	207789	853931	0
Artauni	33	174	274131	778642	0
Artauni	33	526	272276	779095	0
Arth	12	39	320292	765034	0
Artha	12	653	314061	773996	0
Artha Budrukh	20	185	214041	748212	0
Artha Khurd	20	185	214010	748211	0
Arthal	13	35	332648	761638	0
Arthal	33	622	283823	784655	0
Arthala	33	697	286745	773931	0
Arthanda	25	262	218373	853104	0
Arthapur	33	488	273291	806048	0
Arthara	33	444	255737	807501	0
Artharakhera	33	451	277817	793809	0
Arthat	16	232	106242	760526	0
Arthauli	4	687	259539	851051	0
Arthi	19	153	223602	742957	0
Arthi	12	267	319848	767958	0
Arthi	12	267	317893	768544	0
Arthi	12	267	317450	769323	0
Arthi	12	267	316252	769247	0
Arthi	12	267	315295	768633	0
Arthikodel	16	294	126248	751983	0
Arthingivarayur	1	207	131444	792537	0
Arthiwal	27	284	320014	756845	0
Arthkheda	19	502	236374	794718	0
Arthkhera	19	502	236389	795610	0
Arthra	33	682	275618	785945	0
Arthu	4	394	253307	841492	0
Arthu Kalan	11	-1	301544	766312	0
Arthu Khurd	11	-1	301615	766331	0
Arthua	33	451	277514	798246	0
Arthua	4	112	247475	846855	0
Arthuna	28	163	234995	740961	0
Arthya	16	294	125290	752259	0
Arti	33	644	274871	781160	0
Arti	19	239	218440	745194	0
Arti	4	112	246465	842621	0
Artia	28	263	259458	732212	0
Artia	4	641	261457	876148	0
Artiya Kalan	28	331	265419	734167	0
Artoka	14	434	243214	862665	0
Artola	34	413	296283	798265	0
Artondi	20	168	208510	800216	0
Artondi	20	134	205589	800190	0
Artondi	20	134	205973	801363	0
Artondi	20	168	207002	801787	0
Artonditola	20	134	206016	801341	0
Artota	15	97	134141	752127	0
Artota	15	97	134032	751929	0
Arttuvattala	16	234	94783	763735	0
Arttuvattala	16	234	94377	763919	0
Artunda	6	393	211682	831325	0
